"","id","season","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","giveaways","takeaways","goals_away","goals_home","shortHandedGoals","faceOffWins","faceOffTaken","PPpercentage","faceOffPercentage"
"96",32,"s20172018",235,2608,2085,874,226,40,868,497,107,128,10,2616,5111,0.176991150442478,0.511837213852475
"97",15,"s20122013",128,1261,1199,623,171,29,423,327,64,64,2,1356,2875,0.169590643274854,0.471652173913043
"98",15,"s20132014",249,2778,1820,1053,319,49,864,604,112,137,9,2789,5555,0.153605015673981,0.502070207020702
"99",15,"s20142015",257,2558,1657,789,290,55,821,645,129,128,9,2804,5418,0.189655172413793,0.517534145441122
"100",15,"s20152016",300,2994,1873,816,301,64,998,676,147,153,10,3031,6039,0.212624584717608,0.501904288789535
"101",15,"s20162017",222,2506,1552,810,257,46,789,531,93,129,5,2551,5111,0.178988326848249,0.499119546077089
"102",15,"s20172018",231,2561,1861,830,244,47,697,459,106,125,7,2701,5144,0.192622950819672,0.525077760497667
"103",14,"s20122013",168,1891,2201,623,218,42,581,317,73,95,3,2005,3937,0.192660550458716,0.509271018542037
"104",14,"s20132014",286,3434,3691,1196,369,63,1205,467,143,143,5,3506,6641,0.170731707317073,0.527932540280078
"105",14,"s20142015",218,2536,2630,744,247,47,780,375,104,114,7,2530,4929,0.190283400809717,0.513288699533374
"106",14,"s20152016",234,2750,2724,910,249,50,799,363,121,113,6,2710,5340,0.200803212851406,0.50749063670412
"107",14,"s20162017",199,2554,2323,754,241,46,728,317,86,113,5,2512,4948,0.190871369294606,0.50767987065481
"108",14,"s20172018",240,2675,2349,761,253,50,880,420,120,120,5,2570,5153,0.197628458498024,0.498738598874442
"109",28,"s20122013",121,1483,1260,504,169,25,252,302,49,72,2,1482,2849,0.14792899408284,0.52018252018252
"110",28,"s20132014",210,2499,2173,810,282,56,461,512,97,113,3,2563,4931,0.198581560283688,0.519772865544514
"111",29,"s20122013",141,1877,1359,591,219,45,614,428,58,83,3,2009,3731,0.205479452054795,0.538461538461538
"112",29,"s20132014",261,3099,1931,893,323,54,930,692,118,143,8,2974,5661,0.1671826625387,0.525348878290055
"113",29,"s20142015",224,2592,1930,760,254,55,942,624,111,113,4,2698,5196,0.216535433070866,0.519245573518091
"114",29,"s20152016",312,3134,2519,902,350,80,1217,775,159,153,6,3197,6414,0.228571428571429,0.498440910508263
"115",29,"s20162017",233,2629,1720,676,272,46,1181,707,114,119,7,2467,5094,0.169117647058824,0.484295249312917
"116",29,"s20172018",277,3045,1690,759,304,64,917,789,125,152,8,2907,5655,0.210526315789474,0.514058355437666
"117",36,"s20122013",115,1283,1188,605,155,22,214,270,53,62,3,1457,2802,0.141935483870968,0.519985724482512
"118",36,"s20132014",244,2628,2915,974,307,61,476,522,106,138,12,2686,5210,0.198697068403909,0.515547024952015
"119",36,"s20142015",227,2366,2510,978,244,53,485,485,115,112,5,2498,5068,0.217213114754098,0.492896606156275
"120",36,"s20152016",213,2387,2145,995,248,43,478,490,98,115,3,2471,5043,0.173387096774194,0.489986119373389
