"","playing_team_1","playing_team_2","won_1","won_2","goals1","shots1","hits1","pim1","powerPlayOpportunities1","powerPlayGoals1","giveaways1","takeaways1","faceOffWinPercentage1","goals2","shots2","hits2","pim2","powerPlayOpportunities2","powerPlayGoals2","giveaways2","takeaways2","faceOffWinPercentage2","count","wins","REG_1_team","REG_2_team","OT_1_team","OT_2_team","SO_1_team","SO_2_team"
"198",21,25,15,13,87,873,670,337,90,14,322,222,50.4857142857143,81,812,517,355,85,18,353,228,49.5142857142857,28,15,12,10,3,0,0,3
"199",21,27,11,8,65,549,269,196,69,16,140,170,51.2157894736842,56,544,330,200,62,10,137,150,48.7842105263158,19,11,10,7,1,0,0,1
"200",21,28,16,11,71,788,610,272,85,18,232,202,45.7740740740741,70,769,560,292,80,12,184,173,54.2259259259259,27,16,13,10,3,1,0,0
"201",21,29,12,15,71,753,577,238,81,17,322,219,47.6407407407407,78,831,364,218,86,20,303,231,52.3592592592593,27,12,9,12,1,2,2,1
"202",21,32,8,27,87,965,860,500,122,23,391,282,46.8114285714286,127,1045,753,455,103,29,358,240,53.1885714285714,35,8,6,25,1,2,1,0
"203",21,35,8,7,45,449,271,127,55,13,154,103,47.0466666666667,37,427,250,159,44,4,139,109,52.9533333333333,15,8,7,6,0,0,1,1
"204",21,36,4,9,27,374,236,100,34,5,99,85,45.6307692307692,39,363,267,100,33,5,95,102,54.3692307692308,13,4,3,6,1,3,0,0
"205",21,37,8,12,44,564,286,181,71,11,151,127,46.23,50,577,244,192,61,10,148,139,53.77,20,8,5,8,2,2,1,2
"206",21,38,1,3,12,137,127,31,11,2,46,40,49.275,16,119,94,35,9,3,41,40,50.725,4,1,1,3,0,0,0,0
"207",22,1,6,12,45,516,536,170,60,13,233,124,48.1944444444444,58,516,345,165,56,17,189,138,51.8055555555556,18,6,4,11,2,1,0,0
"208",22,10,17,9,81,817,678,261,72,13,323,190,49.8807692307692,61,885,669,215,88,15,314,223,50.1192307692308,26,17,14,7,0,2,3,0
"209",22,11,3,7,25,340,316,77,24,3,102,82,49.55,30,318,186,78,25,7,103,77,50.45,10,3,2,5,1,1,0,1
"210",22,12,8,7,46,460,354,92,52,16,164,109,51.56,53,398,291,124,30,10,129,96,48.44,15,8,5,6,2,1,1,0
"211",22,14,4,6,23,274,317,76,36,7,128,60,46.18,26,286,294,88,30,5,155,54,53.82,10,4,2,6,1,0,1,0
"212",22,15,6,4,36,328,254,86,35,6,102,80,49.26,35,301,211,96,31,5,107,75,50.74,10,6,6,3,0,1,0,0
"213",22,16,12,13,69,807,729,286,74,12,282,166,47.356,89,770,613,296,74,22,235,156,52.644,25,12,5,11,2,1,5,1
"214",22,17,12,20,83,1008,911,379,105,13,235,219,48.684375,107,1054,819,386,95,30,266,193,51.315625,32,12,10,13,0,6,2,1
"215",22,18,4,6,28,283,276,99,35,6,94,71,47.6,33,328,248,95,32,10,59,73,52.4,10,4,2,4,1,0,1,2
"216",22,19,10,8,55,592,416,199,40,10,166,118,48.3333333333333,38,518,390,151,58,5,146,98,51.6666666666667,18,10,8,3,1,2,1,3
"217",22,20,5,5,33,322,286,75,35,6,104,77,49.27,30,279,220,94,25,7,85,86,50.73,10,5,4,2,1,2,0,1
"218",22,21,6,4,26,302,200,83,32,3,95,94,52.16,22,313,187,109,24,2,116,101,47.84,10,6,4,4,2,0,0,0
"219",22,24,13,18,77,964,934,346,87,14,355,299,47.6870967741935,87,916,837,268,92,17,307,271,52.3129032258065,31,13,9,12,4,3,0,3
"220",22,25,4,6,28,331,286,76,31,6,109,94,51.78,23,286,257,102,23,5,121,111,48.22,10,4,4,2,0,2,0,2
"221",22,26,10,14,77,698,613,166,67,21,254,249,45.6,84,758,479,176,63,14,206,257,54.4,24,10,7,11,2,2,1,1
"222",22,27,5,5,29,330,236,77,42,10,72,74,50.03,29,307,237,101,30,4,62,86,49.97,10,5,4,4,1,1,0,0
"223",22,28,6,4,31,299,298,84,32,4,82,67,46.53,20,300,254,76,31,3,65,71,53.47,10,6,6,2,0,1,0,1
"224",22,29,6,4,31,287,290,50,19,3,119,71,49.72,27,316,184,42,18,5,153,74,50.28,10,6,4,4,0,0,2,0
"225",22,30,10,8,46,585,430,127,58,9,217,137,50.0555555555556,51,523,442,137,53,10,194,163,49.9444444444444,18,10,7,7,1,1,2,0
"226",22,31,10,13,63,726,668,257,75,17,203,204,50.7434782608696,77,707,510,244,81,13,199,182,49.2565217391304,23,10,9,9,0,2,1,2
"227",22,32,5,5,30,317,266,106,37,6,89,69,44.1,30,311,265,106,22,4,99,53,55.9,10,5,2,4,2,1,1,0
"228",22,33,12,12,63,804,752,224,74,13,289,165,49.6541666666667,67,776,597,244,69,12,234,215,50.3458333333333,24,12,7,9,3,1,2,2
"229",22,34,6,4,33,273,225,61,30,7,104,97,43.84,27,337,223,87,22,3,99,96,56.16,10,6,5,3,1,1,0,0
"230",22,35,8,5,49,405,273,135,48,11,164,91,51.2923076923077,39,400,349,130,46,10,126,90,48.7076923076923,13,8,5,4,2,1,1,0
"231",22,36,10,11,59,666,488,234,55,9,173,129,48.3285714285714,68,722,541,204,63,15,133,146,51.6714285714286,21,10,8,7,1,1,1,3
"232",22,37,4,6,36,322,212,90,29,5,79,65,48.24,40,325,175,86,30,3,83,90,51.76,10,4,4,5,0,0,0,1
"233",22,38,2,0,8,55,32,14,6,2,16,23,51.3,4,73,28,12,7,3,14,34,48.7,2,2,2,0,0,0,0,0
"234",22,5,9,9,66,589,497,162,46,8,174,161,48.2333333333333,69,578,472,138,54,9,214,158,51.7666666666667,18,9,6,6,3,1,0,2
"235",22,6,6,12,40,569,505,124,62,8,214,179,44.9666666666667,55,584,454,206,42,9,191,151,55.0333333333333,18,6,6,12,0,0,0,0
"236",23,1,6,12,43,480,426,151,53,11,180,74,47.3333333333333,52,542,414,123,62,15,164,118,52.6666666666667,18,6,4,7,1,3,1,2
"237",23,10,11,14,59,691,514,221,79,20,193,160,50.844,75,725,549,231,83,10,195,204,49.156,25,11,7,11,3,2,1,1
"238",23,11,4,6,31,269,254,101,23,7,58,57,48.18,32,339,168,75,36,7,58,64,51.82,10,4,4,3,0,2,0,1
"239",23,12,6,9,39,366,258,120,50,8,97,74,45.74,49,440,280,114,53,14,90,85,54.26,15,6,4,7,2,1,0,1
"240",23,14,6,4,22,225,239,80,25,4,87,44,47.7,18,274,311,68,32,3,67,38,52.3,10,6,4,4,2,0,0,0
"241",23,15,5,5,25,288,160,94,25,7,73,54,46.12,23,290,198,86,29,5,68,49,53.88,10,5,2,3,3,1,0,1
"242",23,16,17,9,80,671,536,370,110,21,156,160,45.2769230769231,56,720,697,394,98,19,156,151,54.7230769230769,26,17,14,6,2,2,1,1
"243",23,17,12,14,62,721,606,220,82,14,128,149,47.5346153846154,72,792,589,248,73,14,142,140,52.4653846153846,26,12,11,11,1,2,0,1
"244",23,18,1,9,18,242,178,113,29,4,45,49,48.19,30,301,190,106,37,9,35,90,51.81,10,1,1,8,0,0,0,1
