"","playing_team_1","playing_team_2","count","team_1_wins"
"446",14,36,13,10
"447",14,37,18,9
"448",14,35,15,7
"449",14,28,28,14
"450",14,38,8,2
"451",29,36,13,6
"452",29,37,18,8
"453",29,35,15,8
"454",29,28,28,18
"455",29,38,10,3
"456",36,37,13,8
"457",36,35,10,4
"458",36,28,13,9
"459",36,38,2,1
"460",37,35,29,13
"461",37,28,18,12
"462",37,38,3,3
"463",35,28,15,12
"464",35,38,8,2
"465",28,38,5,1
